chromosome,HindIII fragment,chromosome,HindIII fragment,sequence frequency,P value,Q value
1,31834,2,21002,6,"2,03E-04","8,01E-03"
1,31834,2,57727,6,"1,56E-05","2,87E-03"
1,31834,2,60193,13,"3,22E-10","1,64E-07"
1,31834,2,74057,6,"2,03E-04","8,01E-03"
1,31834,2,86934,6,"2,03E-04","8,01E-03"
1,31834,2,91365,7,"2,32E-05","1,44E-03"
1,31834,2,97402,13,"3,22E-10","1,64E-07"
1,31834,2,123381,9,"2,10E-07","3,01E-05"
1,31834,2,160950,8,"2,34E-06","2,23E-04"
1,31834,2,177394,17,"3,17E-10","1,64E-07"
1,31834,2,184519,8,"2,34E-06","2,23E-04"
1,31834,2,187702,6,"2,03E-04","8,01E-03"
1,31834,2,190351,12,"4,01E-10","1,64E-07"
1,31834,2,193504,19,"3,17E-10","1,64E-07"
1,31834,2,215163,11,"1,56E-09","4,62E-07"
1,31834,2,222491,6,"2,03E-04","8,01E-03"
1,31834,2,245669,6,"2,03E-04","8,01E-03"
1,31834,2,250086,12,"4,01E-10","1,64E-07"
1,31834,2,259259,6,"1,56E-05","2,87E-03"
1,31834,2,268119,6,"2,03E-04","8,01E-03"
1,31834,2,273716,9,"2,10E-07","3,01E-05"
1,31834,2,276214,6,"1,56E-05","2,87E-03"
1,31834,2,278991,7,"1,12E-06","4,06E-04"
1,31834,2,290117,9,"2,10E-07","3,01E-05"
1,31834,2,301976,6,"2,03E-04","8,01E-03"
1,31834,2,305529,7,"2,32E-05","1,44E-03"
1,31834,2,337328,9,"2,10E-07","3,01E-05"
1,31834,2,342342,6,"2,03E-04","8,01E-03"
1,31834,2,400155,14,"3,17E-10","1,64E-07"
1,31834,2,422510,9,"2,10E-07","3,01E-05"
1,31834,2,474127,8,"7,14E-08","4,74E-05"
1,31834,2,486817,9,"2,10E-07","3,01E-05"
1,31834,2,602709,10,"1,73E-08","3,62E-06"
1,31834,2,627303,8,"2,34E-06","2,23E-04"
1,31834,2,737797,6,"2,03E-04","8,01E-03"
1,31834,2,778139,9,"2,10E-07","3,01E-05"
1,31834,2,784208,6,"2,03E-04","8,01E-03"
1,31834,2,797920,7,"2,32E-05","1,44E-03"
1,45869,2,18821,8,"2,34E-06","2,23E-04"
1,45869,2,21002,8,"7,14E-08","4,74E-05"
1,45869,2,35910,6,"2,03E-04","8,01E-03"
1,45869,2,43291,6,"2,03E-04","8,01E-03"
1,45869,2,44988,9,"2,10E-07","3,01E-05"
1,45869,2,86934,7,"2,32E-05","1,44E-03"
1,45869,2,91365,6,"2,03E-04","8,01E-03"
1,45869,2,95059,7,"2,32E-05","1,44E-03"
1,45869,2,97402,7,"2,32E-05","1,44E-03"
1,45869,2,118500,6,"2,03E-04","8,01E-03"
1,45869,2,123381,13,"3,22E-10","1,64E-07"
1,45869,2,133258,7,"1,12E-06","4,06E-04"
1,45869,2,156794,7,"1,12E-06","4,06E-04"
1,45869,2,160950,13,"3,22E-10","1,64E-07"
1,45869,2,171075,6,"2,03E-04","8,01E-03"
1,45869,2,177394,9,"2,10E-07","3,01E-05"
1,45869,2,182268,11,"1,56E-09","4,62E-07"
1,45869,2,184519,6,"2,03E-04","8,01E-03"
1,45869,2,189076,11,"1,56E-09","4,62E-07"
1,45869,2,190351,11,"1,56E-09","4,62E-07"
1,45869,2,193504,12,"4,01E-10","1,64E-07"
1,45869,2,197093,10,"1,73E-08","3,62E-06"
1,45869,2,205464,7,"2,32E-05","1,44E-03"
1,45869,2,208923,7,"2,32E-05","1,44E-03"
1,45869,2,237231,9,"2,10E-07","3,01E-05"
1,45869,2,245669,7,"2,32E-05","1,44E-03"
1,45869,2,250086,6,"2,03E-04","8,01E-03"
1,45869,2,259259,7,"1,12E-06","4,06E-04"
1,45869,2,276214,6,"1,56E-05","2,87E-03"
1,45869,2,278991,6,"2,03E-04","8,01E-03"
1,45869,2,283653,6,"2,03E-04","8,01E-03"
1,45869,2,290117,10,"1,73E-08","3,62E-06"
1,45869,2,369715,6,"2,03E-04","8,01E-03"
1,45869,2,380477,13,"8,31E-10","1,91E-06"
1,45869,2,385687,7,"2,32E-05","1,44E-03"
1,45869,2,389582,9,"2,10E-07","3,01E-05"
1,45869,2,474127,7,"2,32E-05","1,44E-03"
1,45869,2,559185,6,"2,03E-04","8,01E-03"
1,45869,2,568788,8,"2,34E-06","2,23E-04"
1,45869,2,592883,8,"2,34E-06","2,23E-04"
1,45869,2,616878,7,"2,32E-05","1,44E-03"
1,45869,2,670731,8,"2,34E-06","2,23E-04"
1,45869,2,683501,6,"2,03E-04","8,01E-03"
1,45869,2,797920,7,"2,32E-05","1,44E-03"
1,57623,2,39289,6,"2,03E-04","8,01E-03"
1,57623,2,193504,6,"2,03E-04","8,01E-03"
1,57623,2,245669,6,"2,03E-04","8,01E-03"
1,57623,2,414943,6,"2,03E-04","8,01E-03"
1,60374,2,152882,8,"2,34E-06","2,23E-04"
1,60374,2,190351,6,"2,03E-04","8,01E-03"
1,60374,2,227042,6,"2,03E-04","8,01E-03"
1,60374,2,290117,6,"2,03E-04","8,01E-03"
1,60374,2,455028,6,"2,03E-04","8,01E-03"
1,60374,2,669042,6,"2,03E-04","8,01E-03"
1,64761,2,190351,10,"1,73E-08","3,62E-06"
1,64761,2,193504,7,"2,32E-05","1,44E-03"
1,64761,2,245669,6,"2,03E-04","8,01E-03"
1,64761,2,250086,6,"2,03E-04","8,01E-03"
1,64761,2,340549,6,"2,03E-04","8,01E-03"
1,71123,2,65265,6,"1,56E-05","2,87E-03"
1,71123,2,128146,7,"1,12E-06","4,06E-04"
1,71123,2,144383,7,"1,12E-06","4,06E-04"
1,71123,2,190351,8,"7,14E-08","4,74E-05"
1,71123,2,259259,7,"1,12E-06","4,06E-04"
1,71123,2,276214,6,"1,56E-05","2,87E-03"
1,71123,2,384634,6,"1,56E-05","2,87E-03"
1,71123,2,502988,6,"1,56E-05","2,87E-03"
1,71123,2,644946,7,"1,12E-06","4,06E-04"
1,75881,2,14347,8,"2,34E-06","2,23E-04"
1,75881,2,39289,6,"2,03E-04","8,01E-03"
1,75881,2,54516,7,"2,32E-05","1,44E-03"
1,75881,2,97402,6,"2,03E-04","8,01E-03"
1,75881,2,137328,6,"2,03E-04","8,01E-03"
1,75881,2,205464,8,"2,34E-06","2,23E-04"
1,75881,2,208923,7,"2,32E-05","1,44E-03"
1,75881,2,232912,7,"2,32E-05","1,44E-03"
1,75881,2,245669,8,"2,34E-06","2,23E-04"
1,75881,2,268119,6,"2,03E-04","8,01E-03"
1,75881,2,278991,6,"2,03E-04","8,01E-03"
1,75881,2,340549,8,"2,34E-06","2,23E-04"
1,75881,2,372293,9,"2,10E-07","3,01E-05"
1,77522,2,133258,7,"2,32E-05","1,44E-03"
1,77522,2,137328,6,"2,03E-04","8,01E-03"
1,77522,2,156794,6,"2,03E-04","8,01E-03"
1,77522,2,167917,6,"2,03E-04","8,01E-03"
1,77522,2,184519,9,"2,10E-07","3,01E-05"
1,77522,2,190351,12,"4,01E-10","1,64E-07"
1,77522,2,193504,11,"1,56E-09","4,62E-07"
1,77522,2,208923,7,"2,32E-05","1,44E-03"
1,77522,2,215163,6,"2,03E-04","8,01E-03"
1,77522,2,250086,10,"1,73E-08","3,62E-06"
1,77522,2,268119,6,"2,03E-04","8,01E-03"
1,77522,2,278991,7,"2,32E-05","1,44E-03"
1,77522,2,283653,10,"1,73E-08","3,62E-06"
1,77522,2,357000,8,"2,34E-06","2,23E-04"
1,77522,2,372293,6,"2,03E-04","8,01E-03"
1,77522,2,508561,6,"2,03E-04","8,01E-03"
1,79041,2,97402,6,"2,03E-04","8,01E-03"
1,79041,2,152882,6,"2,03E-04","8,01E-03"
1,79041,2,190351,7,"2,32E-05","1,44E-03"
1,79041,2,193504,15,"3,17E-10","1,64E-07"
1,79041,2,245669,9,"2,10E-07","3,01E-05"
1,79041,2,276214,6,"2,03E-04","8,01E-03"
1,79041,2,337328,11,"1,56E-09","4,62E-07"
1,79041,2,357000,8,"2,34E-06","2,23E-04"
1,79041,2,387102,11,"1,56E-09","4,62E-07"
1,79041,2,413372,7,"2,32E-05","1,44E-03"
1,80059,2,185952,13,"3,22E-10","1,64E-07"
1,80059,2,190351,9,"2,10E-07","3,01E-05"
1,80059,2,227042,6,"1,56E-05","2,87E-03"
1,80059,2,245669,8,"2,34E-06","2,23E-04"
1,80059,2,276214,9,"2,10E-07","3,01E-05"
1,80059,2,362662,7,"2,32E-05","1,44E-03"
1,80059,2,702571,7,"2,32E-05","1,44E-03"
1,87388,2,14347,6,"2,03E-04","8,01E-03"
1,87388,2,74057,9,"2,10E-07","3,01E-05"
1,87388,2,97402,11,"1,56E-09","4,62E-07"
1,87388,2,137328,6,"2,03E-04","8,01E-03"
1,87388,2,156794,7,"2,32E-05","1,44E-03"
1,87388,2,167917,6,"2,03E-04","8,01E-03"
1,87388,2,171075,10,"1,73E-08","3,62E-06"
1,87388,2,185952,8,"2,34E-06","2,23E-04"
1,87388,2,190351,10,"1,73E-08","3,62E-06"
1,87388,2,193504,8,"2,34E-06","2,23E-04"
1,87388,2,197093,7,"2,32E-05","1,44E-03"
1,87388,2,205464,8,"2,34E-06","2,23E-04"
1,87388,2,215163,12,"4,01E-10","1,64E-07"
1,87388,2,218318,11,"1,56E-09","4,62E-07"
1,87388,2,222491,7,"2,32E-05","1,44E-03"
1,87388,2,232912,6,"2,03E-04","8,01E-03"
1,87388,2,235579,6,"1,56E-05","2,87E-03"
1,87388,2,245669,13,"3,22E-10","1,64E-07"
1,87388,2,250086,15,"3,17E-10","1,64E-07"
1,87388,2,251864,8,"2,34E-06","2,23E-04"
1,87388,2,268119,12,"4,01E-10","1,64E-07"
1,87388,2,276214,9,"2,10E-07","3,01E-05"
1,87388,2,277559,6,"2,03E-04","8,01E-03"
1,87388,2,278991,6,"2,03E-04","8,01E-03"
1,87388,2,290117,11,"1,56E-09","4,62E-07"
1,87388,2,312591,8,"2,34E-06","2,23E-04"
1,87388,2,408207,6,"2,03E-04","8,01E-03"
1,87388,2,542390,9,"4,80E-09","5,47E-06"
1,87388,2,672726,6,"2,03E-04","8,01E-03"
1,95477,2,14347,8,"2,34E-06","2,23E-04"
1,95477,2,97402,6,"1,56E-05","2,87E-03"
1,95477,2,149998,6,"2,03E-04","8,01E-03"
1,95477,2,177394,6,"2,03E-04","8,01E-03"
1,95477,2,190351,13,"8,31E-10","1,91E-06"
1,95477,2,193504,9,"2,10E-07","3,01E-05"
1,95477,2,237231,6,"2,03E-04","8,01E-03"
1,95477,2,241756,6,"2,03E-04","8,01E-03"
1,95477,2,245669,8,"2,34E-06","2,23E-04"
1,95477,2,268119,9,"2,10E-07","3,01E-05"
1,95477,2,271446,7,"2,32E-05","1,44E-03"
1,95477,2,283653,10,"1,73E-08","3,62E-06"
1,95477,2,290117,6,"2,03E-04","8,01E-03"
1,95477,2,301976,7,"2,32E-05","1,44E-03"
1,95477,2,353543,6,"2,03E-04","8,01E-03"
1,95477,2,437804,7,"2,32E-05","1,44E-03"
1,98441,2,60193,6,"2,03E-04","8,01E-03"
1,98441,2,91365,8,"2,34E-06","2,23E-04"
1,98441,2,123381,12,"4,01E-10","1,64E-07"
1,98441,2,128146,6,"2,03E-04","8,01E-03"
1,98441,2,133258,11,"1,56E-09","4,62E-07"
1,98441,2,156794,7,"2,32E-05","1,44E-03"
1,98441,2,184519,6,"2,03E-04","8,01E-03"
1,98441,2,185952,6,"2,03E-04","8,01E-03"
1,98441,2,190351,8,"2,34E-06","2,23E-04"
1,98441,2,193504,13,"3,22E-10","1,64E-07"
1,98441,2,205464,9,"2,10E-07","3,01E-05"
1,98441,2,208923,7,"2,32E-05","1,44E-03"
1,98441,2,215163,13,"3,22E-10","1,64E-07"
1,98441,2,218318,11,"1,56E-09","4,62E-07"
1,98441,2,237231,7,"2,32E-05","1,44E-03"
1,98441,2,241756,6,"2,03E-04","8,01E-03"
1,98441,2,245669,10,"1,73E-08","3,62E-06"
1,98441,2,250086,7,"2,32E-05","1,44E-03"
1,98441,2,271446,10,"1,73E-08","3,62E-06"
1,98441,2,273716,7,"2,32E-05","1,44E-03"
1,98441,2,276214,8,"2,34E-06","2,23E-04"
1,98441,2,277559,6,"2,03E-04","8,01E-03"
1,98441,2,278991,11,"1,56E-09","4,62E-07"
1,98441,2,283653,6,"2,03E-04","8,01E-03"
1,98441,2,296818,10,"1,03E-09","1,91E-06"
1,98441,2,397286,6,"1,56E-05","2,87E-03"
1,98441,2,400155,8,"2,34E-06","2,23E-04"
1,98441,2,414943,6,"2,03E-04","8,01E-03"
1,98441,2,455028,8,"2,34E-06","2,23E-04"
1,98441,2,635563,7,"2,32E-05","1,44E-03"
1,101871,2,95059,7,"2,32E-05","1,44E-03"
1,101871,2,99601,8,"2,34E-06","2,23E-04"
1,101871,2,118500,6,"1,56E-05","2,87E-03"
1,101871,2,123381,6,"2,03E-04","8,01E-03"
1,101871,2,128146,6,"2,03E-04","8,01E-03"
1,101871,2,133258,6,"2,03E-04","8,01E-03"
1,101871,2,139637,7,"2,32E-05","1,44E-03"
1,101871,2,160950,6,"1,56E-05","2,87E-03"
1,101871,2,164535,6,"2,03E-04","8,01E-03"
1,101871,2,177394,11,"1,56E-09","4,62E-07"
1,101871,2,182268,8,"2,34E-06","2,23E-04"
1,101871,2,184519,6,"2,03E-04","8,01E-03"
1,101871,2,185952,15,"3,17E-10","1,64E-07"
1,101871,2,190351,14,"3,17E-10","1,64E-07"
1,101871,2,193504,11,"1,56E-09","4,62E-07"
1,101871,2,205464,16,"3,17E-10","1,64E-07"
1,101871,2,210714,7,"2,32E-05","1,44E-03"
1,101871,2,215163,8,"2,34E-06","2,23E-04"
1,101871,2,227042,6,"2,03E-04","8,01E-03"
1,101871,2,228881,6,"1,56E-05","2,87E-03"
1,101871,2,237231,6,"2,03E-04","8,01E-03"
1,101871,2,245669,9,"2,10E-07","3,01E-05"
1,101871,2,248006,7,"1,12E-06","4,06E-04"
1,101871,2,250086,7,"2,32E-05","1,44E-03"
1,101871,2,259259,6,"1,56E-05","2,87E-03"
1,101871,2,266271,7,"1,12E-06","4,06E-04"
1,101871,2,268119,10,"1,73E-08","3,62E-06"
1,101871,2,273716,10,"1,73E-08","3,62E-06"
1,101871,2,277559,10,"1,73E-08","3,62E-06"
1,101871,2,283653,8,"2,34E-06","2,23E-04"
1,101871,2,290117,8,"2,34E-06","2,23E-04"
1,101871,2,385687,7,"2,32E-05","1,44E-03"
1,101871,2,400155,9,"2,10E-07","3,01E-05"
1,101871,2,413372,6,"2,03E-04","8,01E-03"
1,101871,2,486817,7,"2,32E-05","1,44E-03"
1,101871,2,574026,8,"2,34E-06","2,23E-04"
1,101871,2,680504,7,"2,32E-05","1,44E-03"
1,101871,2,702571,8,"2,34E-06","2,23E-04"
1,108107,2,18821,10,"1,73E-08","3,62E-06"
1,108107,2,41562,7,"2,32E-05","1,44E-03"
1,108107,2,54516,10,"1,73E-08","3,62E-06"
1,108107,2,74057,9,"2,10E-07","3,01E-05"
1,108107,2,81169,6,"2,03E-04","8,01E-03"
1,108107,2,86934,10,"1,73E-08","3,62E-06"
1,108107,2,123381,12,"4,01E-10","1,64E-07"
1,108107,2,133258,9,"2,10E-07","3,01E-05"
1,108107,2,137328,6,"2,03E-04","8,01E-03"
1,108107,2,144383,7,"2,32E-05","1,44E-03"
1,108107,2,152882,7,"2,32E-05","1,44E-03"
1,108107,2,160950,10,"1,73E-08","3,62E-06"
1,108107,2,171075,7,"2,32E-05","1,44E-03"
1,108107,2,177394,15,"3,17E-10","1,64E-07"
1,108107,2,182268,11,"1,56E-09","4,62E-07"
1,108107,2,184519,13,"3,22E-10","1,64E-07"
1,108107,2,185952,6,"1,56E-05","2,87E-03"
1,108107,2,187702,22,"3,17E-10","1,64E-07"
1,108107,2,189076,10,"1,73E-08","3,62E-06"
1,108107,2,190351,25,"3,17E-10","1,64E-07"
1,108107,2,193504,34,"3,17E-10","1,64E-07"
1,108107,2,197093,17,"3,17E-10","1,64E-07"
1,108107,2,205464,15,"3,17E-10","1,64E-07"
1,108107,2,208923,10,"1,73E-08","3,62E-06"
1,108107,2,215163,10,"1,73E-08","3,62E-06"
1,108107,2,222491,20,"3,17E-10","1,64E-07"
1,108107,2,227042,11,"1,56E-09","4,62E-07"
1,108107,2,232912,12,"4,01E-10","1,64E-07"
1,108107,2,234720,9,"2,10E-07","3,01E-05"
1,108107,2,237231,17,"3,17E-10","1,64E-07"
1,108107,2,239170,10,"1,73E-08","3,62E-06"
1,108107,2,245669,25,"3,17E-10","1,64E-07"
1,108107,2,250086,26,"3,17E-10","1,64E-07"
1,108107,2,251864,9,"2,10E-07","3,01E-05"
1,108107,2,268119,17,"3,17E-10","1,64E-07"
1,108107,2,269734,6,"1,56E-05","2,87E-03"
1,108107,2,273716,15,"3,17E-10","1,64E-07"
1,108107,2,276214,14,"3,17E-10","1,64E-07"
1,108107,2,278991,8,"2,34E-06","2,23E-04"
1,108107,2,290117,30,"3,17E-10","1,64E-07"
1,108107,2,296818,7,"2,32E-05","1,44E-03"
1,108107,2,301976,7,"2,32E-05","1,44E-03"
1,108107,2,305529,12,"4,01E-10","1,64E-07"
1,108107,2,337328,12,"4,01E-10","1,64E-07"
1,108107,2,340549,10,"1,73E-08","3,62E-06"
1,108107,2,348939,9,"2,10E-07","3,01E-05"
1,108107,2,357000,11,"1,56E-09","4,62E-07"
1,108107,2,366540,8,"2,34E-06","2,23E-04"
1,108107,2,375119,8,"2,34E-06","2,23E-04"
1,108107,2,400155,6,"2,03E-04","8,01E-03"
1,108107,2,437804,6,"2,03E-04","8,01E-03"
1,108107,2,443672,8,"2,34E-06","2,23E-04"
1,108107,2,527771,8,"2,34E-06","2,23E-04"
1,108107,2,553516,13,"3,22E-10","1,64E-07"
1,108107,2,559185,6,"2,03E-04","8,01E-03"
1,108107,2,602709,6,"2,03E-04","8,01E-03"
1,108107,2,670731,7,"2,32E-05","1,44E-03"
1,108107,2,692580,7,"2,32E-05","1,44E-03"
1,108107,2,723665,6,"2,03E-04","8,01E-03"
1,108107,2,745651,6,"2,03E-04","8,01E-03"
1,108107,2,752962,6,"2,03E-04","8,01E-03"
1,108107,2,759583,7,"2,32E-05","1,44E-03"
1,116051,2,18821,8,"2,34E-06","2,23E-04"
1,116051,2,60193,6,"2,03E-04","8,01E-03"
1,116051,2,97402,7,"2,32E-05","1,44E-03"
1,116051,2,99601,7,"2,32E-05","1,44E-03"
1,116051,2,107437,7,"1,12E-06","4,06E-04"
1,116051,2,123381,8,"2,34E-06","2,23E-04"
1,116051,2,128146,8,"2,34E-06","2,23E-04"
1,116051,2,133258,7,"2,32E-05","1,44E-03"
1,116051,2,149998,7,"2,32E-05","1,44E-03"
1,116051,2,167917,7,"2,32E-05","1,44E-03"
1,116051,2,177394,13,"3,22E-10","1,64E-07"
1,116051,2,185952,10,"1,73E-08","3,62E-06"
1,116051,2,187702,6,"2,03E-04","8,01E-03"
1,116051,2,190351,6,"2,03E-04","8,01E-03"
1,116051,2,193504,23,"3,17E-10","1,64E-07"
1,116051,2,197093,11,"1,56E-09","4,62E-07"
1,116051,2,205464,8,"2,34E-06","2,23E-04"
1,116051,2,215163,13,"3,22E-10","1,64E-07"
1,116051,2,218318,13,"3,22E-10","1,64E-07"
1,116051,2,222491,7,"2,32E-05","1,44E-03"
1,116051,2,227042,9,"2,10E-07","3,01E-05"
1,116051,2,232912,8,"2,34E-06","2,23E-04"
1,116051,2,234720,9,"2,10E-07","3,01E-05"
1,116051,2,239170,8,"2,34E-06","2,23E-04"
1,116051,2,245669,18,"3,17E-10","1,64E-07"
1,116051,2,250086,17,"3,17E-10","1,64E-07"
1,116051,2,259259,6,"1,56E-05","2,87E-03"
1,116051,2,268119,17,"3,17E-10","1,64E-07"
1,116051,2,271446,8,"2,34E-06","2,23E-04"
1,116051,2,276214,10,"1,73E-08","3,62E-06"
1,116051,2,277559,9,"2,10E-07","3,01E-05"
1,116051,2,278991,6,"1,56E-05","2,87E-03"
1,116051,2,280734,7,"2,32E-05","1,44E-03"
1,116051,2,283653,8,"2,34E-06","2,23E-04"
1,116051,2,290117,20,"3,17E-10","1,64E-07"
1,116051,2,312591,9,"2,10E-07","3,01E-05"
1,116051,2,337328,13,"3,22E-10","1,64E-07"
1,116051,2,340549,8,"2,34E-06","2,23E-04"
1,116051,2,353543,6,"2,03E-04","8,01E-03"
1,116051,2,357000,6,"2,03E-04","8,01E-03"
1,116051,2,375119,7,"2,32E-05","1,44E-03"
1,116051,2,380477,6,"2,03E-04","8,01E-03"
1,116051,2,412983,8,"2,34E-06","2,23E-04"
1,116051,2,437804,9,"2,10E-07","3,01E-05"
1,116051,2,689958,7,"2,32E-05","1,44E-03"
1,120304,2,14347,6,"2,03E-04","8,01E-03"
1,120304,2,54516,6,"2,03E-04","8,01E-03"
1,120304,2,71465,6,"1,56E-05","2,87E-03"
1,120304,2,86934,6,"2,03E-04","8,01E-03"
1,120304,2,152882,7,"2,32E-05","1,44E-03"
1,120304,2,160950,17,"3,17E-10","1,64E-07"
1,120304,2,182268,6,"2,03E-04","8,01E-03"
1,120304,2,184519,10,"1,73E-08","3,62E-06"
1,120304,2,185952,16,"3,17E-10","1,64E-07"
1,120304,2,189076,8,"2,34E-06","2,23E-04"
1,120304,2,190351,11,"1,56E-09","4,62E-07"
1,120304,2,193504,24,"3,17E-10","1,64E-07"
1,120304,2,208923,6,"2,03E-04","8,01E-03"
1,120304,2,215163,8,"2,34E-06","2,23E-04"
1,120304,2,218318,10,"1,73E-08","3,62E-06"
1,120304,2,222491,8,"7,14E-08","4,74E-05"
1,120304,2,227042,7,"2,32E-05","1,44E-03"
1,120304,2,232912,6,"2,03E-04","8,01E-03"
1,120304,2,237231,8,"2,34E-06","2,23E-04"
1,120304,2,239170,9,"2,10E-07","3,01E-05"
1,120304,2,241756,7,"2,32E-05","1,44E-03"
1,120304,2,245669,14,"3,17E-10","1,64E-07"
1,120304,2,250086,10,"1,73E-08","3,62E-06"
1,120304,2,268119,7,"2,32E-05","1,44E-03"
1,120304,2,273716,11,"1,56E-09","4,62E-07"
1,120304,2,276214,7,"2,32E-05","1,44E-03"
1,120304,2,277559,6,"2,03E-04","8,01E-03"
1,120304,2,278991,12,"4,01E-10","1,64E-07"
1,120304,2,290117,10,"1,73E-08","3,62E-06"
1,120304,2,340549,6,"2,03E-04","8,01E-03"
1,120304,2,359367,6,"2,03E-04","8,01E-03"
1,120304,2,414943,7,"2,32E-05","1,44E-03"
1,120304,2,538141,8,"2,34E-06","2,23E-04"
1,120304,2,553516,6,"2,03E-04","8,01E-03"
1,120304,2,752962,7,"2,32E-05","1,44E-03"
1,122885,2,187702,7,"2,32E-05","1,44E-03"
1,122885,2,190351,11,"1,56E-09","4,62E-07"
1,122885,2,193504,6,"2,03E-04","8,01E-03"
1,122885,2,198548,6,"2,03E-04","8,01E-03"
1,122885,2,245669,6,"2,03E-04","8,01E-03"
1,122885,2,250086,9,"2,10E-07","3,01E-05"
1,122885,2,278991,7,"2,32E-05","1,44E-03"
1,122885,2,290117,7,"2,32E-05","1,44E-03"
1,125166,2,81169,7,"2,32E-05","1,44E-03"
1,125166,2,184519,7,"2,32E-05","1,44E-03"
1,125166,2,197093,18,"3,17E-10","1,64E-07"
1,125166,2,205464,9,"4,80E-09","5,47E-06"
1,125166,2,208923,8,"2,34E-06","2,23E-04"
1,125166,2,222491,8,"2,34E-06","2,23E-04"
1,125166,2,232912,6,"1,56E-05","2,87E-03"
1,125166,2,234720,13,"3,22E-10","1,64E-07"
1,125166,2,237231,6,"2,03E-04","8,01E-03"
1,125166,2,245669,6,"2,03E-04","8,01E-03"
1,125166,2,250086,6,"2,03E-04","8,01E-03"
1,125166,2,251864,7,"2,32E-05","1,44E-03"
1,125166,2,268119,6,"2,03E-04","8,01E-03"
1,125166,2,273716,8,"2,34E-06","2,23E-04"
1,125166,2,276214,6,"1,56E-05","2,87E-03"
1,125166,2,290117,11,"1,56E-09","4,62E-07"
1,130646,2,41562,6,"2,03E-04","8,01E-03"
1,130646,2,86934,7,"2,32E-05","1,44E-03"
1,130646,2,91365,6,"2,03E-04","8,01E-03"
1,130646,2,99601,8,"2,34E-06","2,23E-04"
1,130646,2,133258,7,"2,32E-05","1,44E-03"
1,130646,2,139637,7,"2,32E-05","1,44E-03"
1,130646,2,160950,12,"4,01E-10","1,64E-07"
1,130646,2,171075,11,"1,56E-09","4,62E-07"
1,130646,2,177394,8,"2,34E-06","2,23E-04"
1,130646,2,182268,8,"2,34E-06","2,23E-04"
1,130646,2,184519,12,"4,01E-10","1,64E-07"
1,130646,2,185952,8,"2,34E-06","2,23E-04"
1,130646,2,187702,11,"1,56E-09","4,62E-07"
1,130646,2,189076,9,"2,10E-07","3,01E-05"
1,130646,2,190351,13,"3,22E-10","1,64E-07"
